TIMESTAMP,UNDERLYING_SYMBOL,SEQ_NUM,EXP_DATE,STRIKE,OPTION_TYPE,SIZE,PRICE,BEST_BID_PX,BEST_ASK_PX,UNDERLYING_BID_PX,UNDERLYING_ASK_PX,BID_PX,ASK_PX,BID_SIZE,ASK_SIZE,EXCHANGE
2020-11-24D00:00:08.938000000,DJX,0,2021-03-12,61.65224,C,138,68.54343,76.05293,83.61199,17.56392,47.05466,70.88794,92.84889,11,29,CBOE
2020-11-24D00:01:53.473000000,AMZN,1,2021-03-09,1.215772,C,117,83.18925,25.76339,52.69538,88.53659,56.13568,94.51251,37.05977,196,28,CBOE
2020-11-24D00:02:31.911000000,DJX,2,2021-03-06,37.31202,C,119,10.89066,73.01155,17.60894,99.94478,2.027631,32.43645,87.32371,76,0,ISE
2020-11-24D00:03:00.934000000,CSCO,3,2021-03-07,43.31862,C,117,46.64784,30.61023,3.634009,62.76406,44.43533,65.30386,64.81943,82,193,AMEX
2020-11-24D00:03:43.070000000,AMZN,4,2021-03-08,50.70527,C,0,22.89699,30.14485,22.6615,77.84693,23.08132,6.366765,55.29011,177,8,ISE
2020-11-24D00:06:01.170000000,CSCO,5,2021-03-09,35.95681,P,40,61.62489,1.110066,50.1873,15.4606,86.01233,80.26554,4.379029,32,115,AMEX
2020-11-24D00:06:11.081000000,GOOG,6,2021-03-15,78.96409,C,158,95.95088,27.23375,44.82922,92.23511,0.558248,93.8411,72.10366,173,11,ISE
2020-11-24D00:08:21.954000000,GOOG,7,2021-03-08,92.61684,C,35,22.04552,53.7743,4.083451,37.12521,38.24977,17.2289,54.46709,106,125,BOX
2020-11-24D00:09:01.645000000,AAPL,8,2021-03-16,75.50199,C,67,12.53631,67.82919,79.02989,12.61692,35.2321,80.6996,3.379545,71,57,ISE
2020-11-24D00:10:42.424000000,CSCO,9,2021-03-11,29.79589,P,75,22.37125,77.31269,56.68735,20.61961,77.08417,76.87997,22.94631,70,119,AMEX
2020-11-24D00:10:54.160000000,GOOG,10,2021-03-15,64.90354,C,123,37.26761,74.74113,84.15308,78.38346,94.82097,17.90925,98.75434,56,73,CBOE
2020-11-24D00:16:57.540000000,AMZN,11,2021-03-13,25.40076,C,42,19.35671,28.87457,55.46102,48.08221,30.79454,30.08978,25.79518,50,39,BOX
2020-11-24D00:16:57.698000000,SPX,12,2021-03-07,41.08898,P,36,84.6295,92.70334,33.22785,86.57299,68.08462,63.17872,70.43029,177,156,AMEX
2020-11-24D00:18:04.090000000,SPX,13,2021-03-10,28.66054,C,163,34.38984,62.62842,20.17722,17.21134,84.85653,25.60943,40.95105,52,39,ISE
2020-11-24D00:18:55.167000000,GOOG,14,2021-03-18,19.88044,P,193,64.8063,53.25271,31.04756,99.67661,66.99938,68.31603,20.73131,118,28,ISE
2020-11-24D00:19:40.990000000,CSCO,15,2021-03-20,28.47764,P,21,17.73689,95.50183,90.07344,50.74299,7.688108,56.2848,12.313,122,123,AMEX
2020-11-24D00:19:42.330000000,GOOG,16,2021-03-17,95.10016,P,36,48.92287,32.71841,12.6403,21.59371,32.46949,85.81175,85.73908,81,139,CBOE
2020-11-24D00:20:41.049000000,DJX,17,2021-03-21,26.44549,P,21,34.3932,1.751861,96.64053,89.61,57.35151,73.13983,40.6439,130,74,AMEX
2020-11-24D00:26:52.589000000,AMZN,18,2021-03-16,99.12188,C,176,57.48587,77.38767,91.83144,58.60105,96.33291,2.941459,90.91212,148,54,ISE
2020-11-24D00:29:35.883000000,GOOG,19,2021-03-17,22.63308,C,93,61.51611,1.567414,34.21075,28.53269,22.18835,43.74695,43.67282,24,73,CBOE
2020-11-24D00:31:13.004000000,SPX,20,2021-03-14,32.2573,C,56,10.337,76.94835,68.87502,47.71104,15.31135,82.58948,68.11248,113,77,AMEX
2020-11-24D00:31:48.064000000,GOOG,21,2021-03-05,24.76101,P,145,57.51457,55.32139,7.275954,94.35991,32.63731,27.6884,63.91472,132,164,AMEX
2020-11-24D00:31:57.958000000,AMZN,22,2021-03-07,86.79291,P,66,19.74164,95.83408,2.768373,78.33951,66.77499,9.98167,93.19326,62,179,ISE
2020-11-24D00:32:38.481000000,CSCO,23,2021-03-13,27.12686,C,69,11.42476,74.90363,32.24028,53.78385,85.92837,94.85128,90.07522,116,196,BOX
2020-11-24D00:33:09.663000000,SPX,24,2021-03-21,53.39344,P,166,54.43416,18.80538,36.63313,35.12106,22.64395,21.14685,4.107153,36,187,CBOE
2020-11-24D00:34:29.716000000,DJX,25,2021-03-18,65.21473,C,14,28.12552,41.77124,58.27228,67.90148,19.68746,86.29739,50.70705,130,12,AMEX
2020-11-24D00:36:21.796000000,SPX,26,2021-03-09,46.39564,C,127,83.83123,40.30676,70.45162,18.07093,17.39788,91.76693,70.24839,80,52,ISE
2020-11-24D00:36:39.753000000,AMZN,27,2021-03-17,89.44534,C,72,36.79224,99.45257,49.01362,48.0971,43.99302,59.14614,85.77663,138,168,AMEX
2020-11-24D00:37:26.653000000,VIX,28,2021-03-15,80.28797,P,26,10.44911,71.46783,92.33177,60.2428,72.78815,24.60837,83.58093,132,22,ISE
2020-11-24D00:39:18.616000000,AMZN,29,2021-03-20,86.85894,P,83,61.51389,41.44759,9.896631,2.508803,5.001537,60.93976,18.03823,106,194,AMEX
2020-11-24D00:40:16.532000000,AMZN,30,2021-03-07,84.08853,P,157,70.98353,11.04807,72.34462,72.3812,97.34271,68.729,72.32798,118,172,CBOE
2020-11-24D00:40:54.256000000,AMZN,31,2021-03-07,3.250605,P,64,81.5967,33.35533,70.39429,20.07268,36.22151,63.38199,54.47503,92,121,CBOE
2020-11-24D00:41:31.794000000,GOOG,32,2021-03-15,1.198131,C,79,76.4109,77.17228,13.36297,60.82805,20.64897,6.375921,85.55676,165,85,AMEX
2020-11-24D00:41:50.534000000,VIX,33,2021-03-17,83.85474,P,105,44.06947,65.55345,23.98334,48.2241,63.49485,17.64347,51.61253,92,81,ISE
2020-11-24D00:42:27.154000000,GOOG,34,2021-03-17,24.16545,P,93,26.5899,82.87741,6.923237,22.82036,97.19859,18.52892,67.45206,132,66,AMEX
2020-11-24D00:42:43.939000000,AAPL,35,2021-03-23,15.91341,P,40,72.89706,1.521153,46.68521,42.0037,66.65753,99.22136,42.76892,120,42,ISE
2020-11-24D00:43:11.332000000,SPX,36,2021-03-20,15.78961,P,11,0.3086352,31.32843,74.50361,16.92457,78.76229,84.8311,60.03082,7,198,BOX
2020-11-24D00:43:43.882000000,GOOG,37,2021-03-18,85.49597,P,143,35.98555,59.02937,11.60345,69.41467,63.78717,25.58965,58.48427,189,104,BOX
2020-11-24D00:44:03.381000000,AMZN,38,2021-03-10,73.37982,P,62,22.32902,46.92834,85.31976,66.74171,60.74294,47.197,24.6713,6,89,CBOE
2020-11-24D00:44:12.954000000,SPX,39,2021-03-13,15.57707,C,23,71.00981,73.12071,83.84493,65.64976,13.91204,38.86628,73.3852,171,54,CBOE
2020-11-24D00:45:26.982000000,AAPL,40,2021-03-13,76.89276,C,122,18.46644,4.084265,76.74837,30.83799,26.21673,51.26926,50.49659,54,99,ISE
2020-11-24D00:47:05.939000000,CSCO,41,2021-03-14,32.45672,P,76,16.50639,94.9894,11.99536,31.11479,91.79083,48.81538,24.71675,171,7,CBOE
2020-11-24D00:47:46.947000000,GOOG,42,2021-03-14,88.69683,C,39,99.73809,51.14915,84.01226,78.13681,27.81843,48.18217,61.18617,112,181,AMEX
